x[m],        y[m],          z[m]
3664940.5000059702,1409153.5900022953,5009571.17000816
3664940.5100059686,1409153.580002295,5009571.16700816
3664940.5200059684,1409153.5700022948,5009571.167008161
3664940.530005969,1409153.560002295,5009571.168008159
3664940.5200059693,1409153.5900022953,5009571.170008159
3664940.5140059693,1409153.5840022955,5009571.1660081595
3664940.5250059688,1409153.575002295,5009571.1660081595
3664940.5330059687,1409153.564002295,5009571.16900816
3664940.5150059704,1409153.5900022958,5009571.17000816
3664940.5140059697,1409153.5840022955,5009571.169008159
3664940.5150059685,1409153.5950022948,5009571.169008158
3664940.5130059686,1409153.584002295,5009571.17100816
